Mon	Month	file	sum	mean	median	std	var	max	min	totalpix	nanpix	statipix	percent
Jan	03Jan	S20030012003031.MON.chlor_a.csv	18169.30483	4.867212651	3.825173378	3.62588433	13.14703717	60.32893753	3.00013893	985680	510686	3733	0.785904664
Feb	03Feb	S20030322003059.MON.chlor_a.csv	24543.85391	5.274845027	4.135698181	3.492840688	12.19993607	42.34214187	3.000410557	985680	393647	4653	0.785935919
Mar	03Mar	S20030602003090.MON.chlor_a.csv	40644.88293	4.577641957	3.712257278	2.640963813	6.974689859	64.4377594	3.000090539	985680	392534	8879	1.496933301
Apr	03Apr	S20030912003120.MON.chlor_a.csv	256820.4789	5.16315472	4.718405326	2.072242301	4.294188153	79.25921631	3.00002642	985680	392653	49741	8.387645082
May	03May	S20031212003151.MON.chlor_a.csv	36762.16574	5.227839269	4.182728767	3.790271505	14.36615808	85.05762482	3.000139266	985680	411907	7032	1.225571785
Jun	03Jun	S20031522003181.MON.chlor_a.csv	13669.6296	6.160265706	4.426519871	5.180050693	26.83292518	93.27672577	3.000578314	985680	414952	2219	0.388801671
Jul	03Jul	S20031822003212.MON.chlor_a.csv	30155.928	6.300862516	4.384745836	6.584540398	43.35617225	99.53390503	3.000547051	985680	463362	4786	0.916300032
Aug	03Aug	S20032132003243.MON.chlor_a.csv	40574.43042	7.377169167	4.940526402	7.648746048	58.5033161	96.91580963	3.001824379	985680	393955	5500	0.929485825
Sep	03Sep	S20032442003273.MON.chlor_a.csv	60225.18446	5.938781625	4.28586446	4.895885865	23.96969841	79.93463135	3.000128269	985680	389614	10141	1.701321666
Oct	03Oct	S20032742003304.MON.chlor_a.csv	53712.72906	4.941828049	3.800784469	3.781692455	14.30119783	90.63752747	3.000002316	985680	387742	10869	1.81774699
Nov	03Nov	S20033052003334.MON.chlor_a.csv	91579.37175	5.171054306	4.194770526	3.408772788	11.61973192	85.9570694	3.000011683	985680	387956	17710	2.962905957
Dec	03Dec	S20033352003365.MON.chlor_a.csv	28036.93766	5.041707905	3.819548	4.133771191	17.08806426	95.77521515	3.000037611	985680	433198	5561	1.00654863
