Mon	Month	file	sum	mean	median	std	var	max	min	totalpix	nanpix	statipix	percent
Jan	04Jan	S20040012004031.MON.chlor_a.csv	20049.41972	5.004847658	3.802850634	4.637729979	21.50853935	76.48338318	3.000292904	985680	429515	4006	0.720289842
Feb	04Feb	S20040322004060.MON.chlor_a.csv	38384.99438	5.263265375	4.364682198	2.982943234	8.89795034	43.1564064	3.000028809	985680	394201	7293	1.233010808
Mar	04Mar	S20040612004091.MON.chlor_a.csv	32452.47488	4.319509501	3.708025932	2.283582556	5.214749288	59.12825012	3.000396927	985680	390783	7513	1.262907697
Apr	04Apr	S20040922004121.MON.chlor_a.csv	57719.75774	4.557782513	3.740845104	2.885539269	8.32633687	97.47029877	3.000075136	985680	389122	12664	2.122844719
May	04May	S20041222004152.MON.chlor_a.csv	115692.5124	4.917226809	3.945047621	3.506243698	12.29374487	89.26461029	3.000067691	985680	392314	23528	3.965174951
Jun	04Jun	S20041532004182.MON.chlor_a.csv	52500.80852	7.729801019	4.691232264	8.107665934	65.7342469	92.880867	3.000598335	985680	392459	6792	1.144935867
Jul	04Jul	S20041832004213.MON.chlor_a.csv	57140.58389	8.339256259	4.828536566	10.43580988	108.906128	98.22586823	3.000412146	985680	393103	6852	1.156305425
Aug	04Aug	S20042142004244.MON.chlor_a.csv	40962.58891	6.712977534	4.530290193	6.235418103	38.88043892	88.6967926	3.000292136	985680	390646	6102	1.025487619
Sep	04Sep	S20042452004274.MON.chlor_a.csv	43156.25617	5.906960877	4.207081944	5.521807083	30.49035346	96.17765808	3.000189036	985680	394864	7306	1.236594811
Oct	04Oct	S20042752004305.MON.chlor_a.csv	43793.16328	5.573776668	4.096603823	4.828501364	23.31442542	93.78144836	3.000122587	985680	387722	7857	1.313971884
Nov	04Nov	S20043062004335.MON.chlor_a.csv	47673.13241	5.12338876	4.067810246	3.508553877	12.30995031	67.24073029	3.000080138	985680	387973	9305	1.556782838
Dec	04Dec	S20043362004366.MON.chlor_a.csv	65311.26065	5.954167258	4.501730978	4.583334929	21.00695907	96.36723328	3.000368516	985680	425389	10969	1.957732678
Jan	05Jan	S20050012005031.MON.chlor_a.csv	20246.13739	5.423556762	4.232946873	5.34210193	28.53805303	87.6893158	3.000740806	985680	617035	3733	1.012627324
Feb	05Feb	S20050322005059.MON.chlor_a.csv	16861.21267	6.360321642	4.369378656	5.467994366	29.89896239	68.98257446	3.00037688	985680	660656	2651	0.815632076
Mar	05Mar	S20050602005090.MON.chlor_a.csv	27892.92435	8.191754582	4.954772234	8.892216197	79.07150889	85.42093658	3.001000836	985680	633610	3405	0.967137217
Apr	05Apr	S20050912005120.MON.chlor_a.csv	73471.21564	5.181692337	4.167142828	3.753042414	14.08532736	84.78638458	3.000181511	985680	392407	14179	2.389962125
May	05May	S20051212005151.MON.chlor_a.csv	110473.7615	4.518908722	3.936813331	2.533022549	6.416203233	80.42250824	3.000127003	985680	398970	24447	4.166794498
Jun	05Jun	S20051522005181.MON.chlor_a.csv	7786.56901	5.545989323	4.147286018	4.607648894	21.23042833	64.07808685	3.001055121	985680	672690	1404	0.448576632
Jul	05Jul	S20051822005212.MON.chlor_a.csv	20756.9001	6.616799522	4.574838489	7.024633401	49.34547442	97.2804718	3.000496447	985680	469933	3137	0.608243965
Aug	05Aug	S20052132005243.MON.chlor_a.csv	34811.79903	7.021339055	4.703867521	6.505006037	42.31510355	69.98996735	3.00026838	985680	394813	4958	0.839105924
Sep	05Sep	S20052442005273.MON.chlor_a.csv	35141.85513	7.440579109	4.417519093	8.246319567	68.0017864	99.71570587	3.000583649	985680	397279	4723	0.802683884
Oct	05Oct	S20052742005304.MON.chlor_a.csv	42382.98209	5.687464049	4.155308723	4.270778077	18.23954538	73.30386353	3.000020186	985680	389116	7452	1.249153486
Nov	05Nov	S20053052005334.MON.chlor_a.csv	120609.283	6.530717079	4.842400221	4.690175826	21.99774928	71.91088104	3.000106335	985680	424859	18468	3.293029327
Dec	05Dec	S20053352005365.MON.chlor_a.csv	37496.91773	5.41081064	4.0331768	4.638708498	21.51761653	99.94078064	3.00011836	985680	623907	6930	1.915565838
Jan	06Jan	S20060012006031.MON.chlor_a.csv	27238.79924	5.477337471	4.097824812	4.744394893	22.5092829	92.68553162	3.000126749	985680	475538	4973	0.974826617
Feb	06Feb	S20060322006059.MON.chlor_a.csv	17655.7289	4.871889872	3.713412881	4.097138996	16.78654795	97.46569824	3.000030518	985680	422794	3624	0.64382486
Mar	06Mar	S20060602006090.MON.chlor_a.csv	89237.13726	5.127392396	4.179159377	3.691137262	13.62449429	97.74411011	3.000328481	985680	426096	17404	3.110167553
Apr	06Apr	S20060912006120.MON.chlor_a.csv	35972.53109	4.359250011	3.524901867	3.714626986	13.79845364	98.32319641	3.000027875	985680	419836	8252	1.458352479
May	06May	S20061212006151.MON.chlor_a.csv	41487.76334	5.436027691	3.821352482	4.886214252	23.87508972	90.38907623	3.00018692	985680	403933	7632	1.311910504
Jun	06Jun	S20061522006181.MON.chlor_a.csv	14128.78538	5.941457266	4.269566556	6.047614452	36.57364056	99.72687531	3.001298308	985680	418525	2378	0.419285733
Jul	06Jul	S20061822006212.MON.chlor_a.csv	11603.21132	7.238435009	4.667110443	9.056723489	82.02424036	92.42486572	3.003902435	985680	681800	1603	0.52751086
Aug	06Aug	S20062132006243.MON.chlor_a.csv	41567.43836	6.700102896	4.202034839	7.048755802	49.68495835	88.57009125	3.000220418	985680	392068	6204	1.04512712
Sep	06Sep	S20062442006273.MON.chlor_a.csv	61063.33699	5.391430072	4.030455093	4.103049905	16.83501852	65.92734528	3.000215054	985680	388379	11326	1.89619639
Oct	06Oct	S20062742006304.MON.chlor_a.csv	33840.92122	5.133634894	3.817800193	3.928373097	15.43211519	85.04464722	3.000050068	985680	389034	6592	1.104842738
Nov	06Nov	S20063052006334.MON.chlor_a.csv	92344.88773	5.72859105	4.304915416	4.651365896	21.6352047	97.28682709	3.000035713	985680	440252	16120	2.955477167
Dec	06Dec	S20063352006365.MON.chlor_a.csv	35951.52431	5.334054052	3.95677345	4.179001489	17.46405345	69.89627838	3.000268221	985680	486709	6740	1.350779905
