file_LAC, th1_LAC,vsum_LAC, vavg_LAC, vmed_LAC, vstd_LAC, vvar_LAC, vmax_LAC, vmin_LAC, totalpix_LAC, nanpix_LAC, statipix_LAC,file_GAC, th1_GAC,vsum_GAC, vavg_GAC, vmed_GAC, vstd_GAC, vvar_GAC, vmax_GAC, vmin_GAC, totalpix_GAC, nanpix_GAC, statipix_GAC
S20030322003059.MON.chlor_a.csv,35-40,154.2936327,38.57340817,39.59448054,1.773127752,3.143982025,39.60239042,35.50228119,985680,393647,4,S20030322003059.MON.chlor_a.csv,35-40,0,0,0,0,0,0,0,985680,427584,0
S20030322003059.MON.chlor_a.csv,40-45,42.34214187,42.34214187,42.34214187,0,0,42.34214187,42.34214187,985680,393647,1,S20030322003059.MON.chlor_a.csv,40-45,0,0,0,0,0,0,0,985680,427584,0
S20030322003059.MON.chlor_a.csv,45-50,0,0,0,0,0,0,0,985680,393647,0,S20030322003059.MON.chlor_a.csv,45-50,0,0,0,0,0,0,0,985680,427584,0
S20030322003059.MON.chlor_a.csv,50-55,0,0,0,0,0,0,0,985680,393647,0,S20030322003059.MON.chlor_a.csv,50-55,0,0,0,0,0,0,0,985680,427584,0
S20030322003059.MON.chlor_a.csv,55-60,0,0,0,0,0,0,0,985680,393647,0,S20030322003059.MON.chlor_a.csv,55-60,0,0,0,0,0,0,0,985680,427584,0
S20030322003059.MON.chlor_a.csv,60-65,0,0,0,0,0,0,0,985680,393647,0,S20030322003059.MON.chlor_a.csv,60-65,0,0,0,0,0,0,0,985680,427584,0
S20030322003059.MON.chlor_a.csv,65-70,0,0,0,0,0,0,0,985680,393647,0,S20030322003059.MON.chlor_a.csv,65-70,0,0,0,0,0,0,0,985680,427584,0
S20030602003090.MON.chlor_a.csv,0-5,519561.7993,0.878888215,0.756850694,0.562330856,0.316215992,4.999922156,0.116979003,985680,392534,591158,S20030602003090.MON.chlor_a.csv,0-5,466070.8265,0.819783734,0.723094165,0.497674966,0.247680372,4.998545885,0.179079637,985680,416537,568529
S20030602003090.MON.chlor_a.csv,5-10,10881.86965,6.559294542,6.163255167,1.332198311,1.774752339,9.995735705,5.001016296,985680,392534,1659,S20030602003090.MON.chlor_a.csv,5-10,3360.842157,6.353198785,6.003050566,1.348832448,1.819348973,9.883680999,5.010428146,985680,416537,529
S20030602003090.MON.chlor_a.csv,10-15,2636.392426,11.82238756,11.35919971,1.486217461,2.208842341,14.9588517,10.00391829,985680,392534,223,S20030602003090.MON.chlor_a.csv,10-15,629.6964164,11.24457886,10.71014027,0.724997924,0.52562199,12.8453989,10.13878059,985680,416537,56
S20030602003090.MON.chlor_a.csv,15-20,1242.38273,17.49834831,17.52485506,1.507509507,2.272584912,19.93816757,15.08849239,985680,392534,71,S20030602003090.MON.chlor_a.csv,15-20,517.8593293,17.85721825,17.78952525,0.210396944,0.044266874,18.24465164,17.59920545,985680,416537,29
S20030602003090.MON.chlor_a.csv,20-25,563.5556403,22.54222561,22.9309985,1.163229118,1.353101981,24.46893883,20.15320537,985680,392534,25,S20030602003090.MON.chlor_a.csv,20-25,0,0,0,0,0,0,0,985680,416537,0
S20030602003090.MON.chlor_a.csv,25-30,162.9334477,27.15557462,27.16470718,1.396554319,1.950363966,29.51494598,25.36543274,985680,392534,6,S20030602003090.MON.chlor_a.csv,25-30,0,0,0,0,0,0,0,985680,416537,0
S20030602003090.MON.chlor_a.csv,30-35,32.53308868,32.53308868,32.53308868,0,0,32.53308868,32.53308868,985680,392534,1,S20030602003090.MON.chlor_a.csv,30-35,0,0,0,0,0,0,0,985680,416537,0
S20030602003090.MON.chlor_a.csv,35-40,37.75115967,37.75115967,37.75115967,0,0,37.75115967,37.75115967,985680,392534,1,S20030602003090.MON.chlor_a.csv,35-40,0,0,0,0,0,0,0,985680,416537,0
S20030602003090.MON.chlor_a.csv,40-45,0,0,0,0,0,0,0,985680,392534,0,S20030602003090.MON.chlor_a.csv,40-45,0,0,0,0,0,0,0,985680,416537,0
S20030602003090.MON.chlor_a.csv,45-50,0,0,0,0,0,0,0,985680,392534,0,S20030602003090.MON.chlor_a.csv,45-50,0,0,0,0,0,0,0,985680,416537,0
S20030602003090.MON.chlor_a.csv,50-55,0,0,0,0,0,0,0,985680,392534,0,S20030602003090.MON.chlor_a.csv,50-55,0,0,0,0,0,0,0,985680,416537,0
S20030602003090.MON.chlor_a.csv,55-60,0,0,0,0,0,0,0,985680,392534,0,S20030602003090.MON.chlor_a.csv,55-60,0,0,0,0,0,0,0,985680,416537,0
S20030602003090.MON.chlor_a.csv,60-65,128.8755188,64.4377594,64.4377594,0,0,64.4377594,64.4377594,985680,392534,2,S20030602003090.MON.chlor_a.csv,60-65,0,0,0,0,0,0,0,985680,416537,0
S20030602003090.MON.chlor_a.csv,65-70,0,0,0,0,0,0,0,985680,392534,0,S20030602003090.MON.chlor_a.csv,65-70,0,0,0,0,0,0,0,985680,416537,0
S20030912003120.MON.chlor_a.csv,0-5,832500.3569,1.456662952,1.314205821,0.739632753,0.54705661,4.999967284,0.214422584,985680,392653,571512,S20030912003120.MON.chlor_a.csv,0-5,757353.1695,1.416322886,1.293243825,0.695283514,0.483419164,4.999282293,0.310583003,985680,422627,534732
S20030912003120.MON.chlor_a.csv,5-10,129920.4971,6.418996894,6.079940862,1.189702702,1.415392519,9.999398504,5.000172734,985680,392653,20240,S20030912003120.MON.chlor_a.csv,5-10,159908.9155,6.786153264,6.53439641,1.266349652,1.603641442,9.999670601,5.000179404,985680,422627,23564
S20030912003120.MON.chlor_a.csv,10-15,13058.06833,11.64858905,11.34898772,1.274944617,1.625483777,14.94737414,10.00161534,985680,392653,1121,S20030912003120.MON.chlor_a.csv,10-15,41654.51382,11.87753459,11.56590888,1.454733083,2.116248342,14.99015011,10.00199318,985680,422627,3507
