Month,file,sum,mean,median,std,var,max,min,totalpix,nanpix,statipix,percent
Jan,S20030012003031.MON.chlor_a.csv,272064.272808,0.5727741252,0.4621169497,0.6081202039,0.3698101824,60.3289375305,0.0180891398,985680,510686,474994,100
Feb,S20030322003059.MON.chlor_a.csv,339136.483116,0.5728337493,0.4659842551,0.6056698249,0.3668359367,42.3421418667,0.0319777131,985680,393647,592033,100
Mar,S20030602003090.MON.chlor_a.csv,535248.09292,0.9023884388,0.7585778201,0.7303772368,0.5334509081,64.4377593994,0.116979003,985680,392534,593146,100
Apr,S20030912003120.MON.chlor_a.csv,978632.699888,1.6502329572,1.3376885734,1.3025605045,1.696663868,79.2592163086,0.2144225836,985680,392653,593027,100
May,S20031212003151.MON.chlor_a.csv,492078.071096,0.857618032,0.7565330863,0.7376704863,0.5441577464,85.0576248169,0.1003779694,985680,411907,573773,100
Jun,S20031522003181.MON.chlor_a.csv,222100.803013,0.3891535075,0.3297422398,0.5259769128,0.2766517128,93.276725769,0.0548414327,985680,414952,570728,100
Jul,S20031822003212.MON.chlor_a.csv,215035.243516,0.4116941088,0.2906671173,0.8879359569,0.7884302636,99.5339050293,0.0645734072,985680,463362,522318,100
Aug,S20032132003243.MON.chlor_a.csv,236350.77959,0.3994267263,0.2648979525,1.0363284373,1.0739766299,96.9158096313,0.0655615628,985680,393955,591725,100
Sep,S20032442003273.MON.chlor_a.csv,390179.891592,0.6545917593,0.4433286463,1.0239873429,1.0485500785,79.9346313477,0.1320169121,985680,389614,596066,100
Oct,S20032742003304.MON.chlor_a.csv,459127.792764,0.7678518388,0.5498346495,0.8692636109,0.7556192252,90.6375274658,0.1502837241,985680,387742,597938,100
Nov,S20033052003334.MON.chlor_a.csv,609641.20545,1.0199376392,0.8018793906,1.0276822478,1.0561308024,85.957069397,0.1114724651,985680,387956,597724,100
Dec,S20033352003365.MON.chlor_a.csv,381892.937595,0.6912314566,0.5749722272,0.7179052454,0.5153879413,95.7752151489,0.0213370491,985680,433198,552482,100
Jan,S20040012004031.MON.chlor_a.csv,317532.916538,0.5709329363,0.4737286766,0.6283096396,0.3947730032,76.4833831787,0.001,985680,429515,556165,100
Feb,S20040322004060.MON.chlor_a.csv,392024.304022,0.6627865132,0.4922679748,0.7208077071,0.5195637506,43.1564064026,0.0506961383,985680,394201,591479,100
Mar,S20040612004091.MON.chlor_a.csv,473722.382635,0.7963099203,0.6889781985,0.5939514781,0.3527783584,59.1282501221,0.1219012439,985680,390783,594897,100
Apr,S20040922004121.MON.chlor_a.csv,708896.459142,1.1883110429,1.0324507214,0.8174538242,0.6682307547,97.4702987671,0.1975554079,985680,389122,596558,100
May,S20041222004152.MON.chlor_a.csv,598701.547316,1.0089920004,0.7369503612,1.1663888371,1.3604629194,89.2646102905,0.1306945235,985680,392314,593366,100
Jun,S20041532004182.MON.chlor_a.csv,288533.562539,0.4863846063,0.3231203631,1.1999621964,1.4399092728,92.8808670044,0.1386259049,985680,392459,593221,100
Jul,S20041832004213.MON.chlor_a.csv,275038.418488,0.4641395439,0.288180536,1.4413461009,2.0774785827,98.2258682251,0.0726819932,985680,393103,592577,100
Aug,S20042142004244.MON.chlor_a.csv,261086.482998,0.4387757389,0.297026034,0.9470389141,0.8968827048,88.6967926025,0.1068416759,985680,390646,595034,100
Sep,S20042452004274.MON.chlor_a.csv,300896.042496,0.5092889199,0.3655619356,0.9075839829,0.823708686,96.1776580811,0.001,985680,394864,590816,100
Oct,S20042752004305.MON.chlor_a.csv,428337.039207,0.7163329853,0.5793384332,0.8544089408,0.7300146382,93.7814483643,0.1219023168,985680,387722,597958,100
Nov,S20043062004335.MON.chlor_a.csv,516987.170147,0.8649508374,0.7293753113,0.7808678783,0.6097546434,67.2407302856,0.006913255,985680,387973,597707,100
Dec,S20043362004366.MON.chlor_a.csv,506080.462627,0.9032457466,0.7285208702,1.0461747366,1.0944815795,96.3672332764,0.001,985680,425389,560291,100
Jan,S20050012005031.MON.chlor_a.csv,212145.342582,0.5754732672,0.4514819145,0.793428101,0.6295281514,87.6893157959,0.001,985680,617035,368645,100
Feb,S20050322005059.MON.chlor_a.csv,157740.727858,0.4853202467,0.3731002212,0.7770038059,0.6037349144,68.9825744629,0.001,985680,660656,325024,100
Mar,S20050602005090.MON.chlor_a.csv,259699.4707,0.7376358983,0.5665732622,1.2079510139,1.459145652,85.4209365845,0.001,985680,633610,352070,100
Apr,S20050912005120.MON.chlor_a.csv,605917.585127,1.0213132658,0.8530609131,0.9807460027,0.9618627219,84.7863845825,0.2111377716,985680,392407,593273,100
May,S20051212005151.MON.chlor_a.csv,521736.961854,0.8892586829,0.5643482735,1.0368936086,1.0751483556,80.4225082397,0.1294834465,985680,398970,586710,100
Jun,S20051522005181.MON.chlor_a.csv,98947.9039131,0.3161375888,0.244323959,0.5224394731,0.2729430031,64.078086853,0.0623417422,985680,672690,312990,100
Jul,S20051822005212.MON.chlor_a.csv,192125.771207,0.3725194159,0.2791044712,0.7754948373,0.6013922427,97.2804718018,0.060896825,985680,469933,515747,100
Aug,S20052132005243.MON.chlor_a.csv,262262.21899,0.4438599871,0.2913026139,0.9070463461,0.8227330739,69.9899673462,0.0739980489,985680,394813,590867,100
Sep,S20052442005273.MON.chlor_a.csv,302210.131815,0.5136125394,0.381805102,1.0148954331,1.0300127402,99.7157058716,0.0848430023,985680,397279,588401,100
Oct,S20052742005304.MON.chlor_a.csv,378590.597696,0.6346185786,0.458510561,0.8265452561,0.6831770604,73.3038635254,0.0379355177,985680,389116,596564,100
Nov,S20053052005334.MON.chlor_a.csv,653581.81726,1.1654018256,0.8812088172,1.3680904783,1.8716715569,71.9108810425,0.0479273163,985680,424859,560821,100
Dec,S20053352005365.MON.chlor_a.csv,275584.255356,0.7617601517,0.5343775868,1.024277223,1.0491438295,99.9407806396,0.0123692183,985680,623907,361773,100
Jan,S20060012006031.MON.chlor_a.csv,310837.455854,0.609315555,0.4798269339,0.7488934108,0.5608413407,92.6855316162,0.0214473642,985680,475538,510142,100
Feb,S20060322006059.MON.chlor_a.csv,318799.003109,0.566365131,0.4676794801,0.5643956804,0.3185424841,97.4656982422,0.0222747047,985680,422794,562886,100
Mar,S20060602006090.MON.chlor_a.csv,491650.998726,0.878600887,0.6433647275,1.1018188232,1.2140047191,97.7441101074,0.0897195712,985680,426096,559584,100
Apr,S20060912006120.MON.chlor_a.csv,588633.392511,1.0402750449,0.9012385979,0.8053620542,0.6486080384,98.3231964111,0.1026322395,985680,419836,565844,100
May,S20061212006151.MON.chlor_a.csv,549547.54698,0.9446504184,0.8061576486,0.8705108781,0.757789189,90.3890762329,0.118991971,985680,403933,581747,100
