Month,file,sum,mean,median,std,var,max,min,totalpix,nanpix,statipix,percent
Jan,S20030012003031.MON.chlor_a.csv,1825.09382422,24.3345843229,21.2100028992,9.5266527912,90.7571134032,60.3289375305,15.342405508,985680,510686,75,0.0157896731
Feb,S20030322003059.MON.chlor_a.csv,2487.92556651,22.0170404116,19.8963054915,6.2119671803,38.5885362487,42.3421418667,15.0003015921,985680,393647,113,0.0190867739
Mar,S20030602003090.MON.chlor_a.csv,2168.03158547,20.4531281648,18.7987922549,7.2162372651,52.0740802659,64.4377593994,15.0884923935,985680,392534,106,0.0178708109
Apr,S20030912003120.MON.chlor_a.csv,3153.77755068,20.4790750044,17.412789464,9.7681151235,95.4160730663,79.2592163086,15.0327585538,985680,392653,154,0.0259684635
May,S20031212003151.MON.chlor_a.csv,3648.22939222,23.6898012482,19.4271032065,10.9409226332,119.703788066,85.0576248169,15.0742721558,985680,411907,154,0.0268398827
Jun,S20031522003181.MON.chlor_a.csv,2424.04045364,23.308081285,19.9099578857,11.3367984523,128.522999148,93.276725769,15.1044068336,985680,414952,104,0.0182223406
Jul,S20031822003212.MON.chlor_a.csv,6919.15165186,27.6766066074,22.3905403018,15.6502321446,244.929766181,99.5339050293,15.1178506613,985680,463362,250,0.047863562
Aug,S20032132003243.MON.chlor_a.csv,12101.9403763,27.2566224692,21.5930093924,14.7047787579,216.230518319,96.9158096313,15.0048226515,985680,393955,444,0.0750348557
Sep,S20032442003273.MON.chlor_a.csv,10475.3995614,22.6740250247,19.4159168154,10.270205977,105.477130811,79.9346313477,15.0153986931,985680,389614,462,0.0775081954
Oct,S20032742003304.MON.chlor_a.csv,4915.51378376,24.2143536146,19.3214926124,12.9013218693,166.444105975,90.6375274658,15.0659918785,985680,387742,203,0.0339500082
Nov,S20033052003334.MON.chlor_a.csv,5909.08100333,24.317205775,19.9120349884,13.032060063,169.834589486,85.957069397,15.0743653297,985680,387956,243,0.040654215
Dec,S20033352003365.MON.chlor_a.csv,2734.89664464,25.8009117418,20.4035282135,15.0033475093,225.100436485,95.7752151489,15.0030911267,985680,433198,106,0.0191861454
Jan,S20040012004031.MON.chlor_a.csv,2692.43309451,27.4738070868,21.0354988426,15.0640672947,226.926123458,76.4833831787,15.1795684844,985680,429515,98,0.0176206701
Feb,S20040322004060.MON.chlor_a.csv,2578.50134154,21.1352568979,20.3061991533,5.3425041845,28.5423509612,43.1564064026,15.0958833694,985680,394201,122,0.0206262606
Mar,S20040612004091.MON.chlor_a.csv,1201.81081959,22.6756758413,18.9728393555,9.2504821814,85.5714205877,59.1282501221,15.0278940201,985680,390783,53,0.0089091053
Apr,S20040922004121.MON.chlor_a.csv,3475.46837447,22.8649235163,19.6562601089,10.3657248594,107.44825186,97.4702987671,15.1175344467,985680,389122,152,0.0254795007
May,S20041222004152.MON.chlor_a.csv,11382.9767598,23.5672396684,20.9206066132,9.2879493587,86.2660032905,89.2646102905,15.0277157327,985680,392314,483,0.0814000128
Jun,S20041532004182.MON.chlor_a.csv,20520.7477425,26.5125939825,23.0456734896,11.3760008269,129.413394814,92.8808670044,15.0137182474,985680,392459,774,0.1304741403
Jul,S20041832004213.MON.chlor_a.csv,23622.816433,31.2058341255,23.7470916907,18.4384738358,339.977317395,98.2258682251,15.0076939265,985680,393103,757,0.1277471113
Aug,S20042142004244.MON.chlor_a.csv,10878.6105903,24.3915035657,20.8706574043,10.4863528058,109.963595167,88.6967926025,15.0692790747,985680,390646,446,0.0749537001
Sep,S20042452004274.MON.chlor_a.csv,8504.08527677,24.5782811467,20.1219170094,12.9746255052,168.340907,96.1776580811,15.0051242312,985680,394864,346,0.0585630721
Oct,S20042752004305.MON.chlor_a.csv,6130.49128766,23.3988217086,18.47829626,14.4681113056,209.326244751,93.7814483643,15.0241786412,985680,387722,262,0.0438157864
Nov,S20043062004335.MON.chlor_a.csv,4632.80952664,22.4893666342,20.344701767,8.4299193446,71.0635401562,67.2407302856,15.0419290662,985680,387973,206,0.0344650473
Dec,S20043362004366.MON.chlor_a.csv,10030.1474723,21.9959374392,18.8580915928,10.2322720905,104.699392135,96.3672332764,15.0105324507,985680,425389,456,0.0813862796
