Month,YMonth,fileLAC,sumLAC,meanLAC,medianLAC,stdLAC,varLAC,maxLAC,minLAC,totalpixLAC,nanpixLAC,statipixLAC,percentLAC,fileGAC,sumGAC,meanGAC,medianGAC,stdGAC,varGAC,maxGAC,minGAC,totalpixGAC,nanpixGAC,statipixGAC,percentGAC,sumDIFF,meanDIFF,medianDIFF,stdDIFF,varDIFF,maxDIFF,minDIFF,totalpixDIFF,nanpixDIFF,statipixDIFF,percentDIFF
Jan,04Jan,S20040012004031.MON.chlor_a.csv,9124.07328276,9.0337359235,6.4451481104,7.923730154,62.7854995536,76.4833831787,5.0045671225,985680,429515,1010,0.1816007839,S20040012004031.MON.chlor_a.csv,1129.52274361,8.5569904819,6.6844344139,3.866851293,14.9525389219,17.9478569031,5.1338853836,985680,532977,132,0.0291581898,7994.55053915,0.4767454416,-0.2392863035,4.056878861,47.8329606317,58.5355262756,-0.1293182611,0,-103462,878,0.1524425941
Feb,04Feb,S20040322004060.MON.chlor_a.csv,21663.6438123,7.6821431958,6.5751359575,3.599025565,12.9529850174,43.1564064026,5.0016324861,985680,394201,2820,0.476770942,S20040322004060.MON.chlor_a.csv,8749.59023858,7.2490391372,6.2800089121,3.246728705,10.5412472836,27.9360866547,5.0050672442,985680,429488,1207,0.2170113917,12914.05357372,0.4331040586,0.2951270454,0.35229686,2.4117377338,15.2203197479,-0.0034347581,0,-35287,1613,0.2597595502
Mar,04Mar,S20040612004091.MON.chlor_a.csv,9508.07856948,7.5401098886,6.2998549938,4.1538702244,17.2546378415,59.1282501221,5.0000138548,985680,390783,1261,0.211969467,S20040612004091.MON.chlor_a.csv,3811.48450311,6.6868149177,6.4141033466,1.6919691673,2.862759663,14.9378728867,5.0068408728,985680,419360,570,0.1006498093,5696.59406637,0.8532949709,-0.1142483528,2.4619010571,14.3918781785,44.1903772354,-0.006827018,0,-28577,691,0.1113196577
Apr,04Apr,S20040922004121.MON.chlor_a.csv,21251.3925267,7.9237108601,6.3900722464,4.8841639593,23.8550575817,97.4702987671,5.0000208219,985680,389122,2682,0.4495790854,S20040922004121.MON.chlor_a.csv,5917.85462292,6.8099592899,5.9508709848,2.8480522133,8.1114014098,26.7214260101,5.002882576,985680,408132,869,0.1504636844,15333.53790378,1.1137515702,0.4392012616,2.036111746,15.7436561719,70.748872757,-0.0028617541,0,-19010,1813,0.2991154009
May,04May,S20041222004152.MON.chlor_a.csv,50248.8727213,8.3831953155,6.5224859357,5.5921644216,31.2723029184,89.2646102905,5.0000861287,985680,392314,5994,1.010169103,S20041222004152.MON.chlor_a.csv,19221.8357271,8.0224690013,6.2060709397,4.3078510075,18.557580303,34.4619560242,5.0019550324,985680,412267,2396,0.4178489152,31027.0369942,0.3607263142,0.316414996,1.2843134141,12.7147226154,54.8026542663,-0.0018689037,0,-19953,3598,0.5923201879
Jun,04Jun,S20041532004182.MON.chlor_a.csv,38673.9638767,12.4153977132,8.159330368,10.120199421,102.418436321,92.8808670044,5.0027520458,985680,392459,3115,0.5250994149,S20041532004182.MON.chlor_a.csv,2793.10615713,6.7629689035,5.9777493477,1.9202356339,3.6873048897,11.2102708817,5.0166115761,985680,408343,413,0.0715353424,35880.85771957,5.6524288097,2.1815810203,8.1999637871,98.7311314314,81.6705961227,-0.0138595303,0,-15884,2702,0.4535640724
Jul,04Jul,S20041832004213.MON.chlor_a.csv,43721.8739856,13.3461153802,8.3422586521,13.3946698723,179.417180989,98.2258682251,5.0000756383,985680,393103,3276,0.5528395466,S20041832004213.MON.chlor_a.csv,4683.12491619,9.6559276622,7.3982185125,5.4412038054,29.606698852,26.0702152252,5.0285184979,985680,422165,485,0.0860669192,39038.74906941,3.690187718,0.9440401396,7.9534660669,149.810482137,72.1556529999,-0.0284428596,0,-29062,2791,0.4667726273
Aug,04Aug,S20042142004244.MON.chlor_a.csv,27878.3451008,10.6527875815,7.6171719602,7.9413181311,63.0645336591,88.6967926025,5.0015888691,985680,390646,2617,0.439806801,S20042142004244.MON.chlor_a.csv,7486.87028233,12.9530627722,7.715857029,15.1144565043,228.446795421,73.3439102173,5.0074579318,985680,407963,578,0.1000489859,20391.47481847,-2.3002751907,-0.0986850688,-7.1731383732,-165.3822617619,15.3528823852,-0.0058690627,0,-17317,2039,0.339757815
Sep,04Sep,S20042452004274.MON.chlor_a.csv,24875.1794872,10.0954462204,7.5178138415,7.9586806355,63.3405974572,96.1776580811,5.0002180338,985680,394864,2464,0.4170503168,S20042452004274.MON.chlor_a.csv,13034.2739363,12.4372842904,6.2918057442,16.2039400457,262.567673006,85.6347579956,5.0002179146,985680,429361,1048,0.1883811267,11840.9055509,-2.34183807,1.2260080973,-8.2452594102,-199.2270755488,10.5429000855,1.19220000094344E-07,0,-34497,1416,0.2286691902
Oct,04Oct,S20042752004305.MON.chlor_a.csv,24107.8352982,9.3731863524,7.4489876702,7.0117873599,49.1651619807,93.7814483643,5.0015531778,985680,387722,2572,0.4301305443,S20042752004305.MON.chlor_a.csv,6416.29969996,7.7026406962,6.5934297244,3.5023949696,12.2667705233,19.1995410919,5.0014505386,985680,444337,833,0.1538765625,17691.53559824,1.6705456562,0.8555579458,3.5093923903,36.8983914574,74.5819072724,0.0001026392,0,-56615,1739,0.2762539817
