Mon	Month	file	sum	mean	median	std	var	max	min	totalpix	nanpix	statipix	percent
Jan	03Jan	S20030012003031.MON.chlor_a.csv	3517.081247	3.745560434	3.224207592	1.49481208	2.234463154	9.845061302	3.001358867	985680	606196	939	0.247441262
Feb	03Feb	S20030322003059.MON.chlor_a.csv	11511.25242	5.640006085	4.623081446	3.150270287	9.92420288	20.0573597	3.006242856	985680	427584	2041	0.365707692
Mar	03Mar	S20030602003090.MON.chlor_a.csv	17328.18935	4.150464515	3.599660476	1.814388621	3.292006069	18.24465164	3.000974611	985680	416537	4175	0.733559053
Apr	03Apr	S20030912003120.MON.chlor_a.csv	306385.0328	6.173383695	5.427569106	3.213169058	10.32445539	46.17442918	3.000176579	985680	422627	49630	8.814445532
May	03May	S20031212003151.MON.chlor_a.csv	6393.40538	3.780842922	3.531953573	0.893901659	0.799060175	9.047087669	3.00146083	985680	443438	1691	0.311853379
Jun	03Jun	S20031522003181.MON.chlor_a.csv	203.8184881	3.774416447	3.774416447	0	0	3.774416447	3.774416447	985680	557608	54	0.0126147
Jul	03Jul	S20031822003212.MON.chlor_a.csv	2629.941968	4.255569528	3.916371584	1.367129558	1.869043227	11.28640938	3.101803541	985680	674019	618	0.198292375
Aug	03Aug	S20032132003243.MON.chlor_a.csv	9793.262634	4.855360751	4.053026378	2.312525854	5.347775827	21.86490594	3.00031352	985680	470446	2017	0.391472612
Sep	03Sep	S20032442003273.MON.chlor_a.csv	27479.56643	5.102983552	3.926078558	4.101260486	16.82033757	40.69525909	3.000064075	985680	412224	5385	0.939043275
Oct	03Oct	S20032742003304.MON.chlor_a.csv	18517.11346	5.070403468	3.483811617	6.709304379	45.01476526	62.19617081	3.002193153	985680	403519	3652	0.627317873
Nov	03Nov	S20033052003334.MON.chlor_a.csv	44528.97623	4.893831875	4.126781941	2.969624046	8.818666974	62.4197731	3.000063757	985680	434380	9099	1.650462543
Dec	03Dec	S20033352003365.MON.chlor_a.csv	9597.555056	4.565915821	3.633915663	2.487047957	6.185407539	17.78706551	3.000616551	985680	572487	2102	0.508721106
Jan	04Jan	S20040012004031.MON.chlor_a.csv	5147.396635	3.94134505	3.258895834	2.022625823	4.091015218	17.9478569	3.000824332	985680	532977	1306	0.288489363
Feb	04Feb	S20040322004060.MON.chlor_a.csv	16939.9631	4.97356521	4.333981043	2.609677936	6.810418931	27.93608665	3.00000664	985680	429488	3406	0.612378459
Mar	04Mar	S20040612004091.MON.chlor_a.csv	12390.92659	4.278634871	3.756797544	1.497438097	2.242320853	14.93787289	3.0008353	985680	419360	2896	0.511371663
Apr	04Apr	S20040922004121.MON.chlor_a.csv	22812.30633	4.08969278	3.547594388	1.682886925	2.832108403	26.72142601	3.001227419	985680	408132	5578	0.965807171
May	04May	S20041222004152.MON.chlor_a.csv	57076.95032	4.518441285	3.772820772	2.571890478	6.614620632	34.46195602	3.000243949	985680	412267	12632	2.202949706
Jun	04Jun	S20041532004182.MON.chlor_a.csv	7467.983325	4.377481433	3.692589283	1.708121972	2.917680671	11.21027088	3.014747858	985680	408343	1706	0.295494659
Jul	04Jul	S20041832004213.MON.chlor_a.csv	9064.307762	5.316309538	3.777068615	4.009164977	16.07340381	26.07021523	3.013423741	985680	422165	1705	0.302565149
Aug	04Aug	S20042142004244.MON.chlor_a.csv	12025.64563	6.546350368	3.951092718	9.535517809	90.92609988	73.34391022	3.001698852	985680	407963	1837	0.317975756
Sep	04Sep	S20042452004274.MON.chlor_a.csv	20361.58444	6.832746458	4.413469791	10.46757684	109.5701649	85.634758	3.000694195	985680	429361	2980	0.535663891
Oct	04Oct	S20042752004305.MON.chlor_a.csv	14742.46337	4.775660308	3.927972987	2.585698879	6.685838691	19.19954109	3.001276732	985680	444337	3087	0.570248438
Nov	04Nov	S20043062004335.MON.chlor_a.csv	14553.0774	5.063701254	3.72299401	3.667028698	13.44709947	22.88425922	3.001235187	985680	423075	2874	0.510837977
Dec	04Dec	S20043362004366.MON.chlor_a.csv	17609.39184	5.102692508	3.988863707	3.171046307	10.05553468	29.38999367	3.002579252	985680	474126	3451	0.674611087
Jan	05Jan	S20050012005031.MON.chlor_a.csv	4755.164429	4.253277665	3.759389472	1.40083239	1.962331384	11.25720406	3.000821471	985680	619145	1118	0.30501862
Feb	05Feb	S20050322005059.MON.chlor_a.csv	9091.638061	4.126935116	3.745746851	1.654909223	2.738724538	16.58465385	3.00045259	985680	637942	2203	0.63352294
Mar	05Mar	S20050602005090.MON.chlor_a.csv	12335.36571	4.766370058	3.696769238	4.26272885	18.17085725	55.97946548	3.002209878	985680	412808	2588	0.451758857
Apr	05Apr	S20050912005120.MON.chlor_a.csv	49504.96291	4.784012651	3.965890884	2.46301036	6.066420035	21.40729426	3.000560671	985680	411813	10348	1.803205272
May	05May	S20051212005151.MON.chlor_a.csv	52964.85529	3.95998918	3.573775315	1.095374879	1.199846126	9.691064864	3.000641972	985680	412361	13375	2.33290716
Jun	05Jun	S20051522005181.MON.chlor_a.csv	968.2932687	4.655256099	4.568423748	1.6809152	2.82547591	8.04919529	3.115710259	985680	567869	208	0.049783275
Jul	05Jul	S20051822005212.MON.chlor_a.csv	2941.602692	5.21560761	4.476797581	2.312654214	5.348369512	10.90491962	3.075573921	985680	570298	564	0.135778633
Aug	05Aug	S20052132005243.MON.chlor_a.csv	6863.910322	5.114687274	4.224399567	2.469983369	6.100817842	16.56805992	3.015182018	985680	414279	1342	0.234861332
Sep	05Sep	S20052442005273.MON.chlor_a.csv	14299.11948	6.066660788	3.841257572	8.145087073	66.34244342	65.1255188	3.000418901	985680	422359	2357	0.418411527
Oct	05Oct	S20052742005304.MON.chlor_a.csv	13782.44433	5.35864865	3.633882364	8.060732869	64.97541439	78.83913422	3.000038273	985680	404006	2572	0.442172076
Nov	05Nov	S20053052005334.MON.chlor_a.csv	72028.82201	6.396307789	4.694113612	4.462509453	19.91399062	78.45909882	3.000141084	985680	477776	11261	2.217151273
Dec	05Dec	S20053352005365.MON.chlor_a.csv	10705.52688	5.561312664	4.188428628	4.971817829	24.71897253	35.90987778	3.000196209	985680	693015	1925	0.65774862
Jan	06Jan	S20060012006031.MON.chlor_a.csv	5519.158455	5.105604491	3.469059944	3.545801873	12.57271092	20.06673241	3.003313899	985680	542624	1081	0.243987216
Feb	06Feb	S20060322006059.MON.chlor_a.csv	5043.359546	5.505851033	3.81091414	7.015979767	49.22397209	60.69631958	3.00035878	985680	498190	916	0.18790129
Mar	06Mar	S20060602006090.MON.chlor_a.csv	57880.91273	5.124018478	4.47702535	2.106338972	4.436663863	18.19058609	3.000105312	985680	423010	11296	2.007571045
Apr	06Apr	S20060912006120.MON.chlor_a.csv	50875.14297	3.940449459	3.487137993	1.569976756	2.464827016	19.59503174	3.001563221	985680	502656	12911	2.672952069
May	06May	S20061212006151.MON.chlor_a.csv	11103.58704	4.48267543	3.559874535	4.762549457	22.68187733	41.21396592	3.001179171	985680	459694	2477	0.470925082
Jun	06Jun	S20061522006181.MON.chlor_a.csv	2459.567723	4.072131992	3.732813358	0.889917933	0.791953927	6.541187763	3.001736641	985680	562217	604	0.142633477
Jul	06Jul	S20061822006212.MON.chlor_a.csv	27954.39465	4.695061245	3.902137518	2.257292495	5.095369408	18.67492294	3.001079321	985680	546090	5954	1.354443914
Aug	06Aug	S20062132006243.MON.chlor_a.csv	12995.95326	5.453610264	3.831139604	4.116680274	16.94705648	39.41339469	3.002455751	985680	407407	2383	0.4120891
Sep	06Sep	S20062442006273.MON.chlor_a.csv	25714.56307	4.639105732	3.63769573	3.858010127	14.88424214	45.42617023	3.001583616	985680	406551	5543	0.957126996
Oct	06Oct	S20062742006304.MON.chlor_a.csv	10007.11893	4.067934523	3.467153788	1.647565334	2.71447153	12.12176132	3.000999689	985680	407503	2460	0.425475244
Nov	06Nov	S20063052006334.MON.chlor_a.csv	41895.14112	4.978034829	4.033323407	2.474969506	6.125474053	26.9998703	3.000921935	985680	463896	8416	1.612927955
Dec	06Dec	S20063352006365.MON.chlor_a.csv	13172.5969	4.769224076	3.817050298	2.710786307	7.348362403	18.64883041	3.000431299	985680	547580	2762	0.630449669
