Month,file,sum,mean,median,std,var,max,min,totalpix,nanpix,statipix,percent
Jan,S20060012006031.MON.chlor_a.csv,14761.4161537,9.0560835299,6.9209740957,7.0004620786,49.0064693136,92.6855316162,5.0001933078,985680,475538,1630,0.3195188791
Feb,S20060322006059.MON.chlor_a.csv,7310.50828306,9.4329139136,6.920616664,7.1450472974,51.0517008817,97.4656982422,5.0003294945,985680,422794,775,0.1376832964
Mar,S20060602006090.MON.chlor_a.csv,44999.9681798,7.9309073281,6.3957232612,5.4288720843,29.4726521072,97.7441101074,5.0013978481,985680,426096,5674,1.0139675187
Apr,S20060912006120.MON.chlor_a.csv,11074.5942534,8.9383327307,6.4604271501,8.1194928626,65.9261643461,98.3231964111,5.005523324,985680,419836,1239,0.2189649444
May,S20061212006151.MON.chlor_a.csv,21625.4321754,9.9794333989,7.3416238949,7.3895060511,54.6047996785,90.3890762329,5.0005717278,985680,403933,2167,0.3724986979
Jun,S20061522006181.MON.chlor_a.csv,8437.37731576,9.7881407375,6.882112205,8.7831163644,77.1431330702,99.7268753052,5.0002895196,985680,418525,862,0.1519866703
Jul,S20061822006212.MON.chlor_a.csv,8239.72897958,11.6380352819,7.8580583334,12.2727737383,150.620975231,92.4248657227,5.0110590458,985680,681800,708,0.2329867053
Aug,S20062132006243.MON.chlor_a.csv,27065.8632785,11.6814256705,8.1300420761,9.641978202,92.9677436483,88.5700912476,5.0002131462,985680,392068,2317,0.3903222981
Sep,S20062442006273.MON.chlor_a.csv,31837.0898984,9.1749538612,6.8729635179,5.8010951032,33.6527043968,65.9273452759,5.0028627515,985680,388379,3470,0.5809466249
Oct,S20062742006304.MON.chlor_a.csv,16949.9501156,8.8743194323,6.9827818871,5.7359882802,32.90156155,85.0446472168,5.001844883,985680,389034,1910,0.3201228199
Nov,S20063052006334.MON.chlor_a.csv,55013.0355115,8.9466637683,7.0407696962,6.2832094363,39.4787208199,97.2868270874,5.0008443892,985680,440252,6149,1.1273715321
Dec,S20063352006365.MON.chlor_a.csv,18442.3442907,9.2257850379,7.014823695,6.053121771,36.6402831747,69.8962783813,5.00037117,985680,486709,1999,0.4006244852
