Month,file,sum,mean,median,std,var,max,min,totalpix,nanpix,statipix,percent
Jan,S20030012003031.MON.chlor_a.csv,3065.84553036,17.1276286613,13.7755304456,8.7512816171,76.5849299408,60.3289375305,10.0113868713,985680,510686,179,0.0376846865
Feb,S20030322003059.MON.chlor_a.csv,4745.69112387,15.4080880645,12.4409472346,6.3638461691,40.4985380636,42.3421418667,10.0114629666,985680,393647,308,0.052024127
Mar,S20030602003090.MON.chlor_a.csv,4804.42401158,14.6031124972,12.8943397999,5.8772553538,34.5421304935,64.4377593994,10.0039182901,985680,392534,329,0.0554669508
Apr,S20030912003120.MON.chlor_a.csv,16211.8458793,12.7151732387,11.5923991885,4.6081200699,21.2347705789,79.2592163086,10.0016153412,985680,392653,1275,0.2149986426
May,S20031212003151.MON.chlor_a.csv,6676.0243787,16.4840108116,13.5559110641,8.8611954343,78.5207845255,85.0576248169,10.0091901124,985680,411907,405,0.0705854057
Jun,S20031522003181.MON.chlor_a.csv,4451.61986837,16.4266415807,13.7084026337,8.9534978649,80.1651240169,93.276725769,10.0051727295,985680,414952,271,0.0474832144
Jul,S20031822003212.MON.chlor_a.csv,10271.6172218,19.417045788,14.7200775146,13.3454862402,178.102002986,99.5339050293,10.0075766742,985680,463362,529,0.1012792973
Aug,S20032132003243.MON.chlor_a.csv,17526.3479649,19.5388494592,14.8904144764,12.8969082693,166.330242908,96.9158096313,10.0005709648,985680,393955,897,0.1515906882
Sep,S20032442003273.MON.chlor_a.csv,18318.7160546,16.4440898157,13.9605242411,8.5148741883,72.5030824418,79.9346313477,10.0009863973,985680,389614,1114,0.1868920556
Oct,S20032742003304.MON.chlor_a.csv,9427.36015527,16.3385791252,13.3710227013,9.674418917,93.5943813812,90.6375274658,10.001598835,985680,387742,577,0.0964982992
Nov,S20033052003334.MON.chlor_a.csv,13360.0257505,15.1302669881,12.1628427505,8.9477447745,80.0621365493,85.957069397,10.0027017593,985680,387956,883,0.1477270446
Dec,S20033352003365.MON.chlor_a.csv,5321.40901238,16.4241018901,12.6919652939,10.8470062036,117.657543581,95.7752151489,10.0216531754,985680,433198,324,0.0586444445
Jan,S20040012004031.MON.chlor_a.csv,3909.17003549,19.5458501774,14.7663861811,13.1400779201,172.661647746,76.4833831787,10.0035305023,985680,429515,200,0.0359605513
Feb,S20040322004060.MON.chlor_a.csv,5528.54091473,14.7035662626,12.2101938327,5.4880205295,30.118369332,43.1564064026,10.0097034931,985680,394201,376,0.0635694589
Mar,S20040612004091.MON.chlor_a.csv,2402.97015248,15.5030332418,12.7630834579,7.5608155067,57.165931126,59.1282501221,10.0307350159,985680,390783,155,0.0260549305
Apr,S20040922004121.MON.chlor_a.csv,6802.56090396,15.819909079,13.1425309703,8.1426991211,66.3035489768,97.4702987671,10.0134999156,985680,389122,430,0.0720801666
May,S20041222004152.MON.chlor_a.csv,18587.0222895,17.0836601926,13.9986298084,8.5418122577,72.9625566457,89.2646102905,10.003695488,985680,392314,1088,0.1833606914
Jun,S20041532004182.MON.chlor_a.csv,25865.1929268,21.2183699153,18.1460490227,11.4757921527,131.693805532,92.8808670044,10.0041570663,985680,392459,1219,0.2054883425
Jul,S20041832004213.MON.chlor_a.csv,30237.3293647,23.1881360158,16.6941779455,16.9442972012,287.109207643,98.2258682251,10.00923268,985680,393103,1304,0.2200557902
Aug,S20042142004244.MON.chlor_a.csv,16165.0975001,18.4112727791,15.1613388658,9.6801201997,93.7047270811,88.6967926025,10.0012735546,985680,390646,878,0.1475545935
Sep,S20042452004274.MON.chlor_a.csv,13199.1941556,18.0316860049,14.476053079,10.910690467,119.043166466,96.1776580811,10.0055986245,985680,394864,732,0.1238964415
Oct,S20042752004305.MON.chlor_a.csv,11432.7233423,16.262764356,13.4766509192,10.4652130781,109.52068477,93.7814483643,10.0144839287,985680,387722,703,0.1175667856
Nov,S20043062004335.MON.chlor_a.csv,8451.10074615,16.0973347546,13.6346616745,7.4438138858,55.4103651659,67.2407302856,10.0233141184,985680,387973,525,0.0878356787
Dec,S20043362004366.MON.chlor_a.csv,17808.6119251,16.0872736451,13.7341667073,8.291095189,68.7422594333,96.3672332764,10.0035456916,985680,425389,1107,0.1975759025
Jan,S20050012005031.MON.chlor_a.csv,4384.14392019,20.4866538326,14.5848971407,15.0749674482,227.254643564,87.6893157959,10.0585756302,985680,617035,214,0.0580504279
Feb,S20050322005059.MON.chlor_a.csv,6041.88855602,16.9715970675,14.4550905228,8.536741273,72.8759515617,68.9825744629,10.0017010144,985680,660656,356,0.1095303731
Mar,S20050602005090.MON.chlor_a.csv,14623.2340603,21.1013478504,16.8857004046,12.9496181255,167.692609596,85.4209365845,10.0495357513,985680,633610,693,0.1968358565
Apr,S20050912005120.MON.chlor_a.csv,12690.4669643,16.8756209632,14.1367612183,9.1870894667,84.4026128699,84.7863845825,10.0157518387,985680,392407,752,0.1267544621
May,S20051212005151.MON.chlor_a.csv,9704.71281201,16.5892526701,14.6408107281,8.1965914294,67.184111061,80.4225082397,10.007799983,985680,398970,585,0.0997085443
Jun,S20051522005181.MON.chlor_a.csv,2024.84385041,17.0154945413,13.5408990383,9.1683605288,84.0588347865,64.078086853,10.0362596512,985680,672690,119,0.038020384
Jul,S20051822005212.MON.chlor_a.csv,7607.33779333,19.4561068883,15.5399084091,13.695330386,187.562074383,97.2804718018,10.0290336609,985680,469933,391,0.0758123654
Aug,S20052132005243.MON.chlor_a.csv,14620.5963362,18.8652855951,15.6154336929,9.408289965,88.515920065,69.9899673462,10.0030860901,985680,394813,775,0.131163189
Sep,S20052442005273.MON.chlor_a.csv,17574.9274141,20.0856313304,16.209236145,12.6143235201,159.121157869,99.7157058716,10.0183392366,985680,397279,875,0.1487081089
Oct,S20052742005304.MON.chlor_a.csv,11987.7438131,15.7113287196,13.7048730671,6.6711106829,44.5037177434,73.3038635254,10.0107165972,985680,389116,763,0.1278991022
Nov,S20053052005334.MON.chlor_a.csv,42163.2401737,15.058300062,13.0177929997,6.345190428,40.2614415679,71.9108810425,10.0034352541,985680,424859,2800,0.4992680374
Dec,S20053352005365.MON.chlor_a.csv,8915.67594344,17.5160627573,14.371052742,10.2920016473,105.925297907,99.9407806396,10.0009481907,985680,623907,509,0.1406959613
Jan,S20060012006031.MON.chlor_a.csv,6071.26209587,18.3421815585,14.3991861343,11.2362377101,126.253037879,92.6855316162,10.0629666646,985680,475538,331,0.0648838951
Feb,S20060322006059.MON.chlor_a.csv,3604.84147161,17.4146930996,13.928796368,9.9926469125,99.8529923183,97.4656982422,10.0009207428,985680,422794,207,0.0367747643
Mar,S20060602006090.MON.chlor_a.csv,13722.8955088,16.8379085998,13.5941879749,10.169290622,103.414471754,97.7441101074,10.0000812411,985680,426096,815,0.1456439069
Apr,S20060912006120.MON.chlor_a.csv,4735.00429459,18.7896995817,13.3433251381,14.00749629,196.209952313,98.3231964111,10.0432434082,985680,419836,252,0.0445352429
May,S20061212006151.MON.chlor_a.csv,11702.3014795,17.5974458338,14.3341029286,9.51235221,90.484844567,90.3890762329,10.0025033951,985680,403933,665,0.1143108602
Jun,S20061522006181.MON.chlor_a.csv,4329.78313393,18.5827602315,14.2678766251,13.2338852032,175.135717571,99.7268753052,10.0040903091,985680,418525,233,0.0410822438
Jul,S20061822006212.MON.chlor_a.csv,4797.67923204,22.9554030241,15.1699662209,17.9891785477,323.61054482,92.4248657227,10.0287259817,985680,681800,209,0.0687771489
Aug,S20062132006243.MON.chlor_a.csv,17233.1745597,19.9227451558,15.8504915237,11.7252831826,137.482265712,88.5700912476,10.0063907504,985680,392068,865,0.1457180785
Sep,S20062442006273.MON.chlor_a.csv,15141.433622,16.4939364074,14.0453364849,7.0551693887,49.775415103,65.9273452759,10.0032192866,985680,388379,918,0.1536913549
Oct,S20062742006304.MON.chlor_a.csv,7449.74882782,15.716769679,12.9605360031,8.0658183791,65.0574261246,85.0446472168,10.0092333555,985680,389034,474,0.0794440925
Nov,S20063052006334.MON.chlor_a.csv,22696.8175727,16.7380660566,13.3049525619,9.7450795851,94.9665761206,97.2868270874,10.0001363754,985680,440252,1356,0.2486120991
Dec,S20063352006365.MON.chlor_a.csv,8697.49325707,16.6300062277,13.8665142059,7.786745775,60.6334097648,69.8962783813,10.0024273396,985680,486709,523,0.1048157107
